Feature, Counts
solvent_c_max-1_Mulliken_charge, 20
solvent_molar_volume, 20
solvent_c_min_NPA_total, 20
solvent_c_min+1_NPA_charge, 20
solvent_c_min+1_Mulliken_charge, 20
solvent_c_max-1_ES_root_Mulliken_charge, 20
solvent_c_min+1_atom=N, 20
solvent_c_min_ES_root_Mulliken_charge, 20
solvent_c_max-1_NPA_Rydberg, 20
solvent_c_min_atom_number, 20
solvent_c_max_atom_number, 20
solvent_ES2_osc_strength, 20
solvent_c_min_NMR_anisotropy, 20
solvent_c_min_NMR_shift, 20
ligand_c_min_NMR_anisotropy_MING, 20
ligand_c_min_NMR_anisotropy_MEAN, 20
ligand_c_min_NMR_anisotropy_MAXG, 20
ligand_c_max-1_APT_charge_MEAN, 20
ligand_c_min_NMR_anisotropy_Boltz, 20
ligand_c_max-1_APT_charge_MAXG, 20
ligand_c_max-1_APT_charge_Boltz, 20
ligand_dipole_MAXG, 20
ligand_c_max-1_APT_charge_MING, 20
concentration, 20
ligand_ES1_osc_strength_STDEV, 20
temperature, 20
ligand_atom4_NPA_Rydberg_STDEV, 20
solvent_c_min_NPA_valence, 19
solvent_c_min_ES_root_NPA_core, 19
base_vib_2_rot_strength, 19
solvent_c_max-1_atom_number, 19
solvent_c_max-1_APT_charge, 19
solvent_c_min+1_%VBur, 19
solvent_c_min_NPA_core, 18
solvent_c_max_%VBur, 18
base_c_min_NPA_charge, 17
ligand_c_min+1_atom_number_Boltz, 16
ligand_c_min+1_atom_number_MEAN, 14
solvent_c_max-1_NMR_shift, 13
solvent_ES1_osc_strength, 11
solvent_ES_root_electronic_spatial_extent, 11
solvent_c_max-1_ES_root_NPA_Rydberg, 11
solvent_electronegativity, 10
solvent_molar_mass, 10
solvent_H_thermal_correction, 10
solvent_c_max-1_ES_root_NPA_valence, 9
solvent_c_min+1_APT_charge, 9
solvent_electronic_spatial_extent, 8
ligand_c_min+1_%VBur_MAXG, 8
solvent_c_max-1_NPA_valence, 8
