Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS3m,base_GATS1se,base_GATS3Z,base_GATS2pe,solvent_SdssC,solvent_GATS4se,solvent_VSA_EState9,solvent_NsCH3,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3943371,CC(C)(C)c1ccc2cc(C=CP(c3ccccc3)c3ccccc3)cnc2c1,72.164,116.6741,0.0595,O=C([O-])C.[Cs+],CCCC#N,"72.1642, 0.9899",0.056742661225519415,0.1265444360281399,0.07445192098979814,0.15437109729761034,0.0,1.3691437802907915,0.0,1,72.1642,0.9899,0.0,2.445175438596491,0.10389712490429247,5.697312499999999,183.59696696945366,10.609079792477814,-0.5466899276517283,7.262408843749999,0.11240899271941755,0.9291693591919501,-0.009421707389425072,-0.05322384428223849,-0.03167038668034025,0.8991690308649136,0.39243443323209065,-0.2049061749102418,0.27579006080164203,2.6715328467153285,5.777020618556701,0.11130693326773192,-0.2298997314929808,0.9071981942216759,-0.5466899276517283,7.2879281443298956,-0.5466899276517283,6.098017241379311,0.9022037774829271,7.408005141506008,-6.891794714825018,5.705135766423357,0.0,-0.38908100296816955,0.03635819308802388,0.35610869036592463,0.37535983450584426,6.196843571613076,0.026002150389110308,14.897810218978103,-0.03621197511573594,2.9506837680005984
Result3943381,CC(C)c1ccc(-c2ccc(P(C3CCCCC3)C3CCCCC3)c(C(C)C)c2)c(C(C)C)c1,71.621,118.1872,0.0985,O=C([O-])C.[Cs+],CC(N(C)C)=O,"71.6213, 2.2055",0.056742661225519415,0.1265444360281399,0.07445192098979814,0.15437109729761034,0.09259259259259278,1.4760842589662049,3.4490740740740735,3,71.6213,2.2055,0.0,1.6043771043771042,0.11731533900492506,5.506956521739131,172.7583918571446,5.304539896238907,-0.0605188429740493,7.115926521739132,0.1146578436191909,1.2917702038526977,-0.16293930703543438,-0.20498084291187743,-0.11044983145433138,1.294989453996901,0.35355339059327373,0.029309592014447126,0.4364791084884752,1.5276782158502589,5.572630303030304,0.11317953522332129,-0.11105790495827657,1.2545532366551018,-0.0605188429740493,7.152842933333332,-0.0605188429740493,5.961959302325581,1.2497381189516856,3.53124326856128,-78.37646346205888,5.627498207885305,0.0,-0.3450801382927471,0.037199130005987444,0.42997842313339785,0.3400953717074534,0.0,0.026327425343205434,12.734767025089607,-0.00044686235078720497,3.4973288549655974
Result3943372,CC([SiH3])C(c1ccccc1P(c1ccccc1)c1cccc(C2OC=NC2(C)C)c1)P(c1ccccc1)c1ccccc1,70.537,101.8657,0.1163,O=C([O-])C(C)(C)C.[Cs+],CCCC#N,"70.5368, 1.6837",0.05199823768686698,0.1243972321309733,0.06442562223749324,0.15285281509040824,0.0,1.3691437802907915,0.0,1,70.5368,1.6837,6.103966387748303,3.14156378600823,-0.06867391119186593,5.550165765765765,242.36020631982873,26.522699481194536,-0.8185779140188314,7.130632576576577,0.030365606699846236,0.9359329850195399,-0.11513718363333161,-0.15184442806813278,-0.09026207302027463,0.9671613396297513,0.6724733211735692,-0.004675122597576825,0.22586503942944944,3.395830330979488,5.787677852348994,0.03628705138542697,-0.06673320827341803,1.0619905749115088,-1.4451883513186026,7.315728429530201,-0.6266104372997712,6.051637931034481,0.8758554382250219,10.451246301275841,-87.40848701169942,5.830770817120622,0.0,-0.5024909314329067,-0.04171120139656095,0.3952382695720839,0.3982599390090679,0.0,0.023086590452144333,21.529182879377434,-0.09674455024188766,-1.9153255771053042
Result3943379,Cc1nc(C)c(CP(Cc2ccccn2)c2ccccc2)c(CP(c2ccccc2)c2ccccc2)c1CP(C)c1ccccc1,69.768,99.0202,0.0846,O=C([O-])C.[K+],CCCC#N,"69.7683, 1.4841",0.6971767885426821,0.1453627869996672,0.6819085487077534,0.1574807960088896,0.0,1.3691437802907915,0.0,1,69.7683,1.4841,0.0,2.404255319148936,0.1315727137109766,5.632559615384616,198.0006379047228,21.21815958495563,-0.6166473393084746,7.20991010576923,0.1383885364458653,1.0051472403268695,0.0364906517117021,0.053304330736796954,0.028155729196157248,0.9543385118440193,0.4948179312344596,0.009704687562492806,0.2605152626597256,2.97799823633157,5.697103225806451,0.138298367055122,-0.018636251556266924,1.144469211045924,-1.5483992555646098,7.243853290322581,-0.3813149468981101,6.069277173913039,0.9570523138127403,11.388958765663489,141.3621203446808,5.690106428571429,6.664825604232536,-0.39894220293860866,0.05779474074620141,0.4136136851325198,0.36005105804654847,12.263210640074686,0.018837614757832476,18.34285714285714,-0.04246614986790639,3.7102466538554104
Result3943377,C1CCC(PCPCP(C2CCCCC2)C2CCCCC2)CC1,68.283,107.7594,0.1087,O=C([O-])C.[K+],CC(N(C)C)=O,"68.2835, 0.8420",0.6971767885426821,0.1453627869996672,0.6819085487077534,0.1574807960088896,0.09259259259259278,1.4760842589662049,3.4490740740740735,3,68.2835,0.842,0.0,0.46036222347559064,0.08668486180410635,5.233947368421052,135.31328457149743,0.0,0.3907597013428147,6.953097589473686,0.09018174321238252,1.6596431335692174,-0.07272846763315557,-0.04140643071940781,-0.015522025667707252,1.6662653891977766,0.19001991384646116,-0.03233910395210666,-0.016263598482958285,0.4820788530465949,5.428443410852709,0.09179822067125136,-0.00970111127110063,1.0136260149307836,0.3907597013428147,7.0672501240310055,0.3907597013428147,5.833476562500001,1.5554056778165175,-1.2356666759265629,-2.647152528872959,5.325107526881721,11.805996864019667,-0.2523251062109153,0.04606738085307725,0.5998148919376224,0.24623454878271592,0.0,0.010415677043283606,12.13978494623656,-0.02538409233946673,4.2088756546973
Result3943369,CP(C)c1cc(C(C)(C)C)ccc1C(CP)c1ccccc1,48.266,101.1705,0.0658,O=C([O-])C(C)(C)C.[K+],CCCC#N,"48.2661, 1.5442",0.5051641116163132,0.1428941881283608,0.476153268219384,0.1556534312908589,0.0,1.3691437802907915,0.0,1,48.2661,1.5442,0.0,1.3048433048433048,0.0036866504267270127,5.326407894736842,169.75879673922543,5.304539896238907,-0.11752797724027864,7.006516947368421,0.006590614697821271,1.2786325030741517,-0.1437245651359687,-0.2323263513629423,-0.14162614379084965,1.284180841011103,0.17151367610270615,-0.14415417080684526,0.5368524472931874,1.1711450012103606,5.527622222222223,0.00804344837382493,-0.3159727431867604,1.21916406385234,-0.11752797724027864,7.122924466666665,-0.11752797724027864,5.9094411764705885,1.2055766613160004,3.224402133051975,-69.68835555555555,5.525912418300654,19.49156123593299,-0.3376701302865599,0.0017828272210322741,0.4766592552839265,0.3291749791217813,0.0,0.03384817007418683,16.22222222222222,-0.011614141635938921,1.5593569902060205
Result3943384,CP(c1ccccc1)c1cc(C(C)(C)C)ccc1P(Cc1cccnc1)C(C)(C)C,46.264,110.9161,0.0913,O=C([O-])C(C)(C)C.[K+],CCCCOC(C)=O,"46.2641, 2.3421",0.5051641116163132,0.1428941881283608,0.476153268219384,0.1556534312908589,-0.18199074074074065,1.0555555555555556,0.0,2,46.2641,2.3421,0.0,1.477987421383648,0.1410831375273844,5.494225806451613,180.5837620671582,15.913619688716722,-0.4085887911405983,7.114270129032258,0.14666270815902407,1.1478990391950388,-0.17365002965768767,-0.10737062682215738,-0.06973372781065086,1.0768275638956664,0.24368245975140937,-0.23299655896745128,0.35907044586720166,1.8210470085470085,5.58684745762712,0.14574149434114564,-0.08477882850843885,1.0050680225261934,-0.7973328597556988,7.173053016949153,-0.38874406861510047,5.991358208955224,1.1078629540781182,5.4552733730352685,-25.78427350427352,5.587091346153847,6.664825604232536,-0.37704863460074994,0.06014988709575217,0.43707160117904903,0.34271356908351425,12.393687143226153,0.036723226200729334,16.0625,-0.010704719517143685,3.1779840285433996
Result3943378,CN(C)c1ccccc1N1CP(c2ccccc2)CNCP(c2ccccc2C(C)(C)C)C1,44.119,102.0890,0.1033,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"44.1192, 0.6911",0.5051641116163132,0.1428941881283608,0.476153268219384,0.1556534312908589,0.09259259259259278,1.4760842589662049,3.4490740740740735,3,44.1192,0.6911,0.0,1.8612453032742888,0.11856026684967375,5.569774436090224,175.23897431190846,25.7256878581851,-0.3714509730503994,7.188369368421052,0.1492719240746965,1.1510656802633399,-0.08514560931945517,-0.10483071381218065,-0.06180733310273263,1.1832071095012948,0.24492979906295206,-0.20371178219433225,0.3301182719631342,1.8460451977401129,5.787742635658916,0.14832694052129314,0.2938704097389704,1.140421470787715,-0.688072175972583,7.348663038759691,-0.31662120292218354,6.126383561643836,1.0907352176174785,6.509803514551477,-94.71982867220963,5.789036864406781,49.038542668873276,-0.4447784371840415,0.048248643179018266,0.42036003387011767,0.35360844661792623,0.0,0.027753284964626448,15.614406779661017,-0.2066525403171393,2.0819903974822513
Result3943373,PCP(CP(c1ccccc1)c1ccccc1)c1ccccc1,39.618,100.9160,0.0999,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"39.6179, 1.6685",0.5051641116163132,0.1428941881283608,0.476153268219384,0.1556534312908589,0.09259259259259278,1.4760842589662049,3.4490740740740735,3,39.6179,1.6685,0.0,1.877954144620811,0.01272939422750394,5.457269841269842,198.87384728321527,15.913619688716722,-0.3042205215419498,7.084133333333333,0.018246182235863377,1.260447236165377,-0.057063724897090405,-0.09722287135098752,-0.0451463643308563,1.2701251214077587,0.17677669529663687,-0.016525722958686827,0.10925244689153331,2.1400560224089635,5.548842666666667,0.0210222014722781,-0.10313529490567605,1.0460556413402315,-0.4526101242966316,7.135075066666665,-0.14838960275468183,5.92092391304348,1.1231443273202362,5.153737569851487,21.123584328129773,5.548100840336133,11.805996864019667,-0.31908783558651604,0.007932015154923075,0.4726122701144728,0.3296021487350629,0.0,0.01264661595703398,19.50420168067227,-0.0396954975526811,3.02180962969549
Result3943370,Cc1cc(C)c(P(C)c2ccccc2-c2ccc(N(C)C)cc2)c(C)c1,37.433,102.6802,0.1043,O=C([O-])C.[K+],CCCC#N,"37.4332, 1.4287",0.6971767885426821,0.1453627869996672,0.6819085487077534,0.1574807960088896,0.0,1.3691437802907915,0.0,1,37.4332,1.4287,0.0,2.041759880686055,0.09385965125278449,5.333516483516485,174.2586839655102,15.508989523328292,-0.39977348175209704,7.014888384615386,0.12281720963811933,1.0883877632920862,0.23659945398660256,0.025555555555555567,0.015775034293552814,1.1108390027247643,0.39119177135152117,-0.05558789785719379,0.4601189235031179,1.9437585733882028,5.720729166666668,0.1210047142652192,-0.16954346157456496,1.2009156518687587,-0.39977348175209704,7.27205375,-0.39977348175209704,6.074008928571429,1.0386417724253934,6.30500278751825,-17.01920438957476,5.689317901234567,25.660079300437395,-0.4453039236384797,0.033276574982873064,0.3876690562273014,0.34829451275267326,0.0,0.030472911894745342,13.253086419753087,-0.06991524854203061,1.8581367281038426
