Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS1se,base_GATS3m,base_GATS2pe,base_GATS3Z,solvent_SdssC,solvent_VSA_EState9,solvent_GATS4se,solvent_NsCH3,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3935542,CN(C)c1ccccc1-c1cccc2c(P(C)C(C)(C)C)cccc12,66.123,104.0422,0.1228,O=C([O-])C.[K+],CC(N(C)C)=O,"66.1228, 0.2676",0.1453627869996672,0.6971767885426821,0.1574807960088896,0.6819085487077534,0.09259259259259278,3.4490740740740735,1.4760842589662049,3,66.1228,0.2676,0.0,2.2733469665985004,0.09730528517046791,5.540753012048192,171.713615396486,10.204449627089385,-0.22832642213263887,7.147606168674697,0.12710828648252256,1.1021310859644504,-0.15401322018487484,-0.09769065520945215,-0.0647561409754361,1.1205014082586933,0.34958492999355245,-0.17039934675901677,0.4732880684930649,1.969934640522876,5.709270833333335,0.12529605146009515,-0.10835237898168035,1.0528280226580462,-0.22832642213263887,7.265446187499999,-0.22832642213263887,6.066218181818182,1.05422828669358,5.416870026220025,-45.85493717284389,5.664658823529412,25.660079300437395,-0.4448620424929328,0.03469177743954966,0.39321110009821686,0.3666132592957838,0.0,0.03474658176371573,13.241176470588234,-0.08940623508064134,1.970158142593203
Result3935545,CC(C)N1C=CN(c2cccc(P(c3ccccc3)c3ccc(O)cc3)c2)[CH-]1,58.679,111.6567,0.1003,O=C([O-])C.[K+],CC(N(C)C)=O,"58.6788, 0.9739",0.1453627869996672,0.6971767885426821,0.1574807960088896,0.6819085487077534,0.09259259259259278,3.4490740740740735,1.4760842589662049,3,58.6788,0.9739,5.749511833283905,3.2948717948717947,0.09735119125503021,5.706882962962963,199.54772987581632,20.8135294195672,-0.7018358190326888,7.267157955555556,0.10549049714446204,0.9878224896162608,-0.07874961877195186,-0.049404142080296164,-0.028283140510465404,1.0163819021231182,0.5581879841484301,0.10542373318353636,0.226665014900309,3.415422885572139,5.991042857142858,0.10537094215217016,-0.13873224015364674,1.002108702108702,-0.7018358190326888,7.47827191208791,-0.7018358190326888,6.276145454545454,0.9433155548073271,7.2134203584265775,-19.3888888888889,5.863683582089552,4.899909730850478,-0.5945912568369882,0.034084951709918515,0.34590119110705125,0.36633498089733757,12.13273413692322,0.023000715058695328,16.992537313432837,0.3032300273487021,2.039876616408137
Result3935543,CN(C)C=Nc1ccccc1-c1cccc(C(C)(C)C)c1P(C(=O)NN)C(C)(C)C,52.888,110.1902,0.0785,O=C([O-])C.[K+],CC(N(C)C)=O,"52.8878, 2.0293",0.1453627869996672,0.6971767885426821,0.1574807960088896,0.6819085487077534,0.09259259259259278,3.4490740740740735,1.4760842589662049,3,52.8878,2.0293,0.0,2.75230352303523,0.10927815584843774,5.885418410041842,209.41372224651371,16.57300156361553,-1.258998884876309,7.425263999999999,0.0925812359973181,0.8878646931899365,-0.23636951078124702,-0.3242590921196697,-0.2207264257837089,0.8221750573052942,0.21962619853517495,-0.22598928615536748,0.4056953317231412,3.122931442080378,5.841505217391305,0.09143153412273816,-0.2679780719170227,1.0392330545805026,-1.258998884876309,7.393275495652174,-1.258998884876309,6.225956060606061,0.8924055630822625,5.797917887800304,-130.22505077069184,6.132266489361702,14.09534396535438,-0.4351924506650216,0.03504810452056655,0.3697115946086029,0.39107928877406994,37.19435490158969,0.04039892237270016,18.861702127659573,-0.1181124479269213,1.3817218202310682
Result3935544,CC1=C(C)N(c2cccc(CP(C)C)c2-c2cnn(-c3cccc4cc(N(C)C)cc(N(C)C)c34)c2)CN1,50.62,106.1959,0.0916,O=C([O-])C(C)(C)C.[K+],CCCC#N,"50.6198, 1.0576",0.1428941881283608,0.5051641116163132,0.1556534312908589,0.476153268219384,0.0,0.0,1.3691437802907915,1,50.6198,1.0576,0.0,3.4762604013705336,0.030923832423611998,5.907053413654618,186.5537322446478,20.016517796557764,-0.09150079928959531,7.443332497991968,0.12697841168966317,0.9357902596349262,-0.18801392431573424,-0.17471546363161203,-0.11463031768037968,0.983742883838746,0.8728108837525652,-0.08762228684761651,0.5587954313091873,3.119409866297833,5.996252816901408,0.12440964810520612,-0.09434651855884474,0.96130485675007,-0.09150079928959531,7.504199901408449,-0.09150079928959531,6.301865432098766,0.8986576398403638,8.371661209691315,-69.27280223384119,5.951097095435685,62.888759520624404,-0.447612527990461,0.009498039340053414,0.3690159582804562,0.3980918055766333,6.196843571613076,0.03140628319563885,16.62655601659751,-0.20178277297743075,-0.27441024723655666
Result3935548,N#Cc1cc(P(c2ccc(-c3ccccc3)cc2)C2CCCCC2)cs1,45.873,111.1275,0.0841,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"45.8727, 1.0401",0.1453627869996672,0.6971767885426821,0.1574807960088896,0.6819085487077534,0.0,0.0,1.0624999999999998,2,45.8727,1.0401,10.946368506493574,2.628747795414462,0.12175931745458851,5.535414285714285,198.59129423705699,10.609079792477814,-0.37591132200479627,7.183302542857143,0.10534972977206862,0.8260292251406288,-0.0927643725787017,-0.05322245322245322,-0.027350427350427357,0.7019222462787333,0.42408945096033634,-0.02280772214917405,0.15291879634414057,2.3820512820512816,5.716011235955056,0.10750453063305489,-0.05282967792862402,0.9566613418712754,-0.37591132200479627,7.270522629213483,-0.37591132200479627,6.090999999999999,0.8146061984594141,5.597439315463877,-41.46429183813443,5.747408461538462,0.0,-0.3937820372492909,0.050578270539902895,0.39909987112602485,0.38106949650269367,0.0,0.01579021814703834,17.4,-0.06275681584368917,4.280682180270162
Result3935547,CCC(C)P(Cc1ccccc1C(N)=S)C(C)c1ccc(C)cc1,45.121,104.9317,0.1054,O=C([O-])C(C)(C)C.[Cs+],CCCC#N,"45.1212, 3.3001",0.1243972321309733,0.05199823768686698,0.15285281509040824,0.06442562223749324,0.0,0.0,1.3691437802907915,1,45.1212,3.3001,4.988502101738191,1.3571961222967934,0.12595453657617472,5.469807228915663,151.8016737737557,5.733667477162185,-0.20155076845553,7.1113701566265055,0.06725865799308219,1.3419703515790007,0.0004003674936974523,-0.005152596115735235,-0.0028735632183908046,1.2496244716999132,0.2384839432971499,-0.08838895650591282,0.36366841481693296,1.2696892294593445,5.594019354838709,0.06969831033547572,-0.1426694126389618,1.0588469260075752,-0.20155076845553,7.187929354838709,-0.20155076845553,6.044726415094339,1.2487736937504768,4.088705272502536,0.46862444298342165,5.5428637931034475,0.0,-0.3267991848993272,0.05179656963800396,0.42839703265109536,0.34426161809104144,6.06636706846161,0.02714392309987443,13.454022988505747,0.048393576843486524,3.6931889309928185
Result3935540,[S-]C=CP(CP(c1ccccc1)c1ccccc1)c1ccccc1,43.238,106.7354,0.1009,O=C([O-])C.[K+],CC(N(C)C)=O,"43.2379, 1.8854",0.1453627869996672,0.6971767885426821,0.1574807960088896,0.6819085487077534,0.09259259259259278,3.4490740740740735,1.4760842589662049,3,43.2379,1.8854,0.0,2.3333333333333335,0.1101530951029887,5.557378151260505,214.4413900827589,15.913619688716722,-0.3983896027546818,7.175177865546215,0.0920634920634921,1.2476144344877698,-0.03162219224912343,-0.04374804789172306,-0.020111325423453,1.0363662351222414,0.17677669529663687,-0.0419955709983197,-0.019281993448257366,2.76193597727521,5.628633333333334,0.09626324174212489,-0.07055786103330507,1.051903093281779,-0.7925432518686484,7.20142351388889,-0.39415364911396655,6.004966666666668,1.086003893744453,5.904686954890312,46.79012345679013,5.644267256637167,5.902998432009833,-0.8082087306642463,0.06101414394352484,0.4386331637193273,0.33006297728479284,0.0,0.012119673625490898,22.088495575221238,-0.07212258088847708,3.975111160883767
Result3935549,COc1c(C(C)C)ccc([O-])c1-c1c(C(C)C)cccc1P(C(C)C)C(C)C,35.119,110.9678,0.0978,O=C([O-])C.[K+],CCCC#N,"35.1192, 2.5953",0.1453627869996672,0.6971767885426821,0.1574807960088896,0.6819085487077534,0.0,0.0,1.3691437802907915,1,35.1192,2.5953,5.749511833283905,2.9132501485442663,0.09299535753702846,5.650505660377359,185.32499608514573,15.147930244879662,-0.4083462459057696,7.284976203773584,0.10499835973329916,0.8062944611050208,-0.05497382960629717,-0.1632380139422393,-0.1018643465909091,0.7312227426727075,0.27684042572919115,-0.009347548222115924,0.4830614249271529,2.141919191919192,5.684271186440678,0.10335063669869275,-0.15468415325519283,1.2198375955863863,-0.4083462459057696,7.278769389830508,-0.4083462459057696,6.07056923076923,0.8336935496160284,4.346613213337186,-112.68291859567904,5.8897759090909085,7.109797541277533,-0.8882504611789456,0.03117037959331532,0.40938694362135164,0.3648061005605334,6.06636706846161,0.03482307998192622,16.009090909090908,-0.1039950437553751,1.3691633762278506
Result3935553,Cc1cc(C)cc(P(c2ccccc2NCc2ccccc2CO)C(C)C)c1,30.208,105.0713,0.0784,O=C([O-])C.[K+],CCCCOC(C)=O,"30.2083, 3.9513",0.1453627869996672,0.6971767885426821,0.1574807960088896,0.6819085487077534,-0.18199074074074065,0.0,1.0555555555555556,2,30.2083,3.9513,0.0,2.360226468506723,0.14174879438440227,5.583541666666665,179.2084263825095,15.925868396484145,-0.46669076255330655,7.202184791666664,0.09267083276728719,1.085122890332014,0.052337326866898924,-0.1273352624631942,-0.07101098465545552,1.0647168373531122,0.4002556912829794,-0.18277146095388475,0.25760525355317937,2.2751322751322753,5.768203883495147,0.09281876572655182,-0.2086068467022646,1.2031174746121356,-0.46669076255330655,7.317230834951456,-0.46669076255330655,6.140425,1.059769883145219,6.472459945321388,-42.26210713289587,5.845083928571429,5.316788604006331,-0.3366804240097145,0.04895895278850684,0.3761525759288466,0.3476753302336963,18.19910120538483,0.02435040220468416,14.482142857142858,-0.057969903558682104,3.715706485277441
Result3935552,c1ccc(CP(c2ccccc2)C(c2ccccc2)c2ccccc2)cc1,25.93,98.3415,0.1338,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"25.9301, 5.1508",0.1453627869996672,0.6971767885426821,0.1574807960088896,0.6819085487077534,0.0,0.0,1.0624999999999998,2,25.9301,5.1508,0.0,2.8501291989664086,0.11432682589196948,5.643748502994012,222.02358540770135,5.304539896238907,-0.44804526748971174,7.19384816766467,0.11296605453533674,1.0331188000559441,-0.06634460567215548,-0.1281393489859275,-0.059507913669064744,1.03830566180189,0.24894547894534014,-0.05032651667654052,0.08178014870508299,3.6402877697841727,5.732022988505747,0.11209284139094973,-0.11820917547415134,0.9402661511439402,-0.44804526748971174,7.245510413793102,-0.44804526748971174,6.06322641509434,0.9671261314041227,7.635516216847863,41.4088098765432,5.7687374100719415,0.0,-0.3212335878298699,0.04132581031468196,0.3655912810138891,0.3386325218360189,0.0,0.012681382385227124,18.26618705035971,-0.07056749416405912,3.628032951431986
