Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS3Z,base_GATS1se,base_GATS3m,base_GATS2pe,solvent_VSA_EState9,solvent_GATS4se,solvent_NsCH3,solvent_SdssC,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3952368,[c-]1cccc(P(c2ccccc2)c2ccccc2)c1,36.4654,103.7759,0.1373,O=C([O-])C.[Cs+],CC(N(C)C)=O,"36.4654, 1.6899",0.07445192098979814,0.1265444360281399,0.056742661225519415,0.15437109729761034,3.4490740740740735,1.4760842589662049,3,0.09259259259259278,36.4654,1.6899,0.0,3.9565217391304346,0.11894024339065112,5.617209302325582,238.4800926186825,15.913619688716722,-0.47723765432098775,7.179948279069768,0.11882362543189053,1.050326139109461,-0.1794984685063611,-0.30229419703103916,-0.13712886440159167,1.0575289575289575,0.17677669529663687,-0.028965194150269713,-0.007775149692234585,4.333333333333333,5.748181818181818,0.118518113489421,-0.09018099116877616,0.9759127997437954,-0.47723765432098775,7.256030399999999,-0.47723765432098775,6.066814285714285,0.9558226282905692,5.721885917273355,-8.746862565044383,5.895402777777777,0.0,-0.45724142489397784,0.0486787859011099,0.3616306238164926,0.31953730373951694,6.06636706846161,0.011722306294206161,18.52777777777778,0.033693207826138515,3.6058299627409247
Result3952353,Cc1ccc(C)c(P(C(C)C)C(C)C)c1,35.838,111.0717,0.1513,O=C([O-])C.[K+],CC(N(C)C)=O,"35.8380, 1.3356",0.6819085487077534,0.1453627869996672,0.6971767885426821,0.1574807960088896,3.4490740740740735,1.4760842589662049,3,0.09259259259259278,35.838,1.3356,0.0,0.8431983385254413,0.14274796335077383,5.268955223880599,143.17630904138656,5.304539896238907,-0.010802469135802184,6.976062328358208,0.13935144609991235,1.525761328139585,-0.14783075615993077,-0.26568285369783495,-0.14737670762601512,1.5320111343075855,0.17536647355387364,-0.1507148687536,0.41185631422869595,0.48717948717948717,5.432376811594201,0.13729037411118686,0.03597027732670092,1.5518762444398384,-0.010802469135802184,7.0696911304347845,-0.010802469135802184,5.8898289473684216,1.437569222790141,1.8546030553372548,-67.42614821654523,5.554653846153846,0.0,-0.33807997860082123,0.05731713512465375,0.4844965786802662,0.3122824514964481,0.0,0.037985696803103666,9.64102564102564,0.018077826054250398,1.8194379802827219
Result3952539,C=NC(Nc1ccccc1)(C(c1ccccc1)C(C)c1ccccc1)P(c1ccccc1)c1ccccc1,35.3019,100.8209,0.1345,O=C([O-])C.[Cs+],CCCC#N,"35.3019, 0.6850",0.07445192098979814,0.1265444360281399,0.056742661225519415,0.15437109729761034,0.0,1.3691437802907915,1,0.0,35.3019,0.685,0.0,3.9192924267551135,0.09884825375585218,5.767621875,221.6440128313804,15.925868396484145,-1.0484278680608046,7.304196525,0.09791683025781973,0.982242570847353,-0.05974838526665214,-0.15243744784872307,-0.0820095930501363,1.010413186483338,0.3078710440442191,-0.07075120402106864,0.14111152655702547,3.98804780876494,5.872107258064516,0.09705822485733274,-0.02673604826799072,1.0694804889524068,-1.0484278680608046,7.361384080645159,-1.0484278680608046,6.154093333333333,0.9388975206831068,10.705609684371804,-5.258350660387277,6.003488047808765,5.316788604006331,-0.37705869751292925,0.032051984852852676,0.3424386372009244,0.36298278707666454,6.06636706846161,0.01626056841714717,19.58167330677291,-0.0011125404311789458,2.9728373805869097
Result3952370,COCN(C)c1ccc([NH-])c(P(C)C)c1,34.2417,105.7212,0.0857,O=C([O-])C(C)(C)C.[Cs+],CC(N(C)C)=O,"34.2417, 1.1518",0.06442562223749324,0.1243972321309733,0.05199823768686698,0.15285281509040824,3.4490740740740735,1.4760842589662049,3,0.09259259259259278,34.2417,1.1518,6.730816747499484,1.534640522875817,0.09742803161462417,5.539828571428572,136.8351439868924,10.204449627089385,-0.22164089401192544,7.231086828571427,0.1361940298507463,0.980861253531235,-0.026625196987118762,-0.205632911392405,-0.11329636991317081,0.9849457185272371,0.14660880187581576,-0.3037407585436233,0.3662787974492971,1.29957805907173,5.962089285714286,0.13514153154374334,-0.2340266410966288,1.167150391260761,-0.22164089401192544,7.564637071428572,-0.22164089401192544,6.25389393939394,0.9527536437019432,2.9355985082938307,-50.962101372875765,5.793615189873418,39.11784721076975,-0.8402765838260249,0.039640227696969656,0.46664761466918,0.3269362733187845,24.080315850450887,0.02949761680724862,11.962025316455696,-0.0641126407635858,-1.1316990653064254
Result3952367,CC(P(C1=NC23C=CC=CC2(N=CO3)O1)c1ccccc1)P(c1ccccc1)c1ccccc1,33.4648,102.1431,0.0964,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"33.4648, 1.1832",0.476153268219384,0.1428941881283608,0.5051641116163132,0.1556534312908589,3.4490740740740735,1.4760842589662049,3,0.09259259259259278,33.4648,1.1832,0.0,3.5888133030990175,0.10225679590383413,5.827980612244896,225.46966285955116,15.913619688716722,-0.9421910430838996,7.389226540816326,0.12495580909529165,0.8165544254423711,-0.02998395420900552,-0.0902117495751229,-0.05695890490415011,0.8391189685505719,1.3060831357089937,-0.04926245338210508,0.18348641904123986,3.9356368563685638,6.124488679245283,0.12573816826658293,0.006080778559477223,1.3175723445027125,-1.621528565129755,7.612836386792449,-0.6793375220458555,6.2985,0.777356941405164,8.522787208320457,-30.888844849605857,6.036942073170731,0.0,-0.475086206156024,0.04380676800700742,0.3627261599107502,0.46982438707366286,24.304080427335524,0.02104578311508596,22.445121951219512,0.06253896873991763,2.656575803252663
Result3952549,CC(=O)C=[NH+]C(=S)n1c(P(c2ccccc2)c2ccccc2)nc2c(-n3cccn3)nc(-n3cccn3)nc21,33.204,112.3137,0.1265,O=C([O-])C.[K+],CC(N(C)C)=O,"33.2040, 2.7987",0.6819085487077534,0.1453627869996672,0.6971767885426821,0.1574807960088896,3.4490740740740735,1.4760842589662049,3,0.09259259259259278,33.204,2.7987,6.2146005795353165,8.09024103468548,0.027897684485712698,6.459650595238095,268.0473794563933,21.166977427655322,-1.1909219133469569,7.890628654761904,0.06431273644388398,0.7305753263900456,-0.08371035061336583,-0.05791004835129188,-0.03376477541371158,0.7533922204526626,0.8731949540139243,0.06560649101594988,0.2622919129844498,8.033884948778566,6.466050961538459,0.06658453652950638,-0.040150199911298354,0.7543560550717862,-1.1909219133469569,7.863894153846152,-1.1909219133469569,6.635533846153846,0.687029044526716,11.708544887416483,-5.405432098765461,6.648433333333331,0.0,-0.4068264945716937,0.009609077239538686,0.3133366417231399,0.525279462638403,42.46456947923127,0.021355301898694234,30.858156028368793,0.3832439462197447,-0.585472669417446
Result3952366,[O-]N=NC(=NP(c1ccccc1)c1ccccc1)n1nccn1,30.5381,93.7632,0.1012,O=C([O-])C.[Cs+],CCCC#N,"30.5381, 1.0005",0.07445192098979814,0.1265444360281399,0.056742661225519415,0.15437109729761034,0.0,1.3691437802907915,1,0.0,30.5381,1.0005,0.0,7.133333333333334,0.049101939262223046,6.493230769230769,245.66296832102563,10.609079792477814,-1.1120267489711948,7.909781230769231,0.13352072924563632,0.46793512339162296,-0.14339655556949582,-0.17211644955434838,-0.07952482485531524,0.4128493726900161,0.23570226039551584,0.1649342239691417,0.16330350620891151,7.77943615257048,6.411207142857143,0.1297817900561222,-0.056322158465645124,0.7594334719334718,-1.1120267489711948,7.805664178571428,-1.1120267489711948,6.665445945945945,0.4588727439512183,6.998167273007562,2.9999999999999902,6.6037134328358205,0.0,-0.797621074252882,0.017851347804622567,0.32210361394276354,0.4089755772337452,60.6636706846161,0.01264661595703398,27.73134328358209,-0.08055816592762637,-0.1807329601898041
Result3952540,CN(C)C(N)=Nc1cccc(P(C)C)c1,30.2718,100.3892,0.1102,O=C([O-])C.[Cs+],CC1=CC=C(C)C=C1,"30.2718, 1.5343",0.07445192098979814,0.1265444360281399,0.056742661225519415,0.15437109729761034,0.0,1.0624999999999998,2,0.0,30.2718,1.5343,0.0,1.5056980056980056,0.12918539398255638,5.74439298245614,137.28509843452838,11.038207373401093,-0.07578514739228992,7.345212561403508,0.12688507540301616,1.1705911389196475,-0.2592618404359662,-0.11528571428571432,-0.06351829988193626,1.1981307077625571,0.10703808753134778,-0.270174631143473,0.5046793760831887,1.4031746031746033,5.832921818181818,0.12623511146858094,-0.1656648850045922,1.1706439141447806,-0.07578514739228992,7.405239345454547,-0.07578514739228992,6.224742424242423,1.1263475355868517,3.025308049805954,-21.360768175582983,5.673171428571429,27.42499517381945,-0.41916530497378074,0.05215327287419653,0.4686261260093513,0.35264407992047025,26.2280781022776,0.03315372046500812,11.7,0.31338188406960177,0.08703150110021286
Result3952357,[O-]P([O-])C(O)[SiH](c1cccnc1)C1CCCO1,29.8008,119.6878,0.0644,O=C([O-])C(C)(C)C.[Cs+],CC1=CC=C(C)C=C1,"29.8008, 2.0312",0.06442562223749324,0.1243972321309733,0.05199823768686698,0.15285281509040824,0.0,1.0624999999999998,2,0.0,29.8008,2.0312,8.796736650091386,3.906204906204906,-0.03175855914653643,6.334160000000001,176.26312366888098,14.973548851192408,-2.8312729906777525,7.974322266666668,0.11792748995407568,0.9402563952061166,-0.10733042557681317,-0.19330855018587367,-0.10822060353798128,0.9173828079596099,0.15515060996381658,-0.11929522046581258,-0.10150484436198723,4.666666666666666,6.098954385964913,0.1201925823315729,0.22381963667116314,0.8402851400300375,-2.8312729906777525,7.6475156491228065,-2.8312729906777525,6.2997562500000015,0.8825878414809487,2.8322619628520895,27.289500391824355,6.474468354430377,6.606881964512918,-0.8804043331866249,-0.03208192899549922,0.47811369273622834,0.349369751698533,6.06636706846161,0.022813897624437213,21.59493670886076,0.3651842116953128,4.277658466666742
Result3952359,COP(O[O-])c1nocc1C,29.3576,102.6643,0.1498,O=C([O-])C(C)(C)C.[K+],CC1=CC=C(C)C=C1,"29.3576, 0.9311",0.476153268219384,0.1428941881283608,0.5051641116163132,0.1556534312908589,0.0,1.0624999999999998,2,0.0,29.3576,0.9311,6.263162995639057,6.633333333333334,-0.18472210837225855,6.405882352941177,151.2552781471323,10.692251793687142,-1.5955504115226333,8.086735058823528,0.2553513513513514,0.7180529880149653,-0.8199273282897043,-0.3231492361927144,-0.18451422436929682,0.699469188227948,0.1642664266089148,-0.2970600410153932,0.25678921961152157,3.4782608695652173,6.679435714285715,0.24528608354007822,0.38643541915864765,1.1394169393031182,-1.5955504115226333,8.262547571428572,-1.5955504115226333,7.056466666666668,0.6679203745140702,2.497071314056473,-124.09571711629323,7.447678260869566,7.109797541277533,-0.7532148312962323,-0.0987248427345678,0.364488684296508,0.41093910120077143,0.0,0.01899908202620494,17.695652173913043,-0.27935387352748753,-4.930173682762615
