Folder Name,Smiles,Fitness,ATSC5v,AATSC5Z,MATS8se,Reagent1_(ul),Reagent2_(ul),Reagent3_(ul),Reagent4_(ul),lab_code,crystal_size,crystal_size_Std
Result3908367,Cc1cncc(-c2ncnc3c2CC2=C(C[NH2+]C2)C3)c1,1.8842,140.90257564228324,0.8011488146623282,0.013228060784488307,156.3312,128.9823,40.0368,4.8855,0.008450343273580074,1.8842,0.1123
Result3908334,CC(=O)c1ccncc1C1CNCC2CN=CC21,1.8583,-380.8639101700419,-0.35909683022145017,-0.23238286801504626,153.5103,107.3433,65.5534,12.7509,0.3116382658481598,1.8583,0.0906
Result3908367,Cc1cnc2c(c1)[nH+]cn2C1CC(C)CC(C)C1,1.8541,-490.4398267845748,-1.365006067961165,-0.005011048232674275,153.4003,120.9916,67.1085,37.8883,0.018116582185029984,1.8541,0.0859
Result3908334,CC1=C2C(=O)C=C(S(=O)(=O)[N-]c3ccnnc3)N(Cc3ccncc3)C2NN1,1.8183,697.6536067462958,0.004214702409889735,-0.19687340337508874,167.8503,112.6547,79.9221,33.0772,0.0029567042365670204,1.8183,0.0722
Result3908334,Cc1cc(=O)c(-c2ccncc2I)c[nH]1,1.8136,-266.89984816554625,-6.026785714285714,0.11232601381728093,150.5910,110.8371,60.3824,30.8055,0.15973269939422607,1.8136,0.0656
Result3908334,OCCCc1cccnc1,1.8068,-160.59766091836767,0.05434357651106403,-0.2381181496228715,162.5484,117.2309,69.2400,31.4133,0.0200441125780344,1.8068,0.0946
Result3908367,Cc1ccnc(-c2n[nH]c3c2CCCC32CC[NH+](C)CC2)c1,1.8062,497.11762737179157,0.031121129625380738,0.03055430825682497,150.9368,130.8582,100.0639,18.8203,0.01682073250412941,1.8062,0.0747
Result3908351,Cc1ccnc2c1N1C(=O)OCC1=CC2,1.8012,-553.1074416477576,-0.783854545454545,0.4518681181017985,154.0628,118.1542,168.7175,0.6584,0.04281283915042877,1.8012,0.0693
Result3908367,Cc1ccncc1-c1ccccn1,1.7959,51.890871035363716,-0.7527779058508921,0.40863866077068794,137.5702,129.9693,99.7019,2.1213,0.019057104364037514,1.7959,0.1016
Result3908332,Oc1nnc(O)c(OC(O)(O)O)c1O,1.7933,-477.1045512806861,0.6599999999999999,1.026143366513533,158.9764,110.2327,56.6091,43.9954,0.13060712814331055,1.7933,0.0685
Result3908351,CCc1nc(-c2cnccn2)nc2c1NC1=C([O-])CCC(C)C1C2c1cnccn1,1.7518,203.57644997963777,0.2366863905325446,-0.12998115505922583,151.4602,133.1513,173.5975,10.3121,0.09596139192581177,1.7518,0.0694
Result3908351,CCc1nc(-c2nnn[n-]2)nc(C(F)(F)F)c1-c1ccccc1,1.7433,-814.8257676169844,-0.027417027417027354,-0.196361009410573,151.9960,140.4411,176.4091,5.0294,0.010138873010873795,1.7433,0.0766
Result3908335,Cc1c(C2(C)CCCCC2)noc1C1(C)C=CC(C(C)(C)O)CC1,1.7333,-1182.6158401984533,-1.2200051681883195,0.06227009041271516,154.9375,109.4594,54.8235,152.9177,0.032225027680397034,1.7333,0.0636
Result3908367,NC(=O)c1c2c(nc3ccncc13)OCN2,1.7178,-824.8664109803086,-1.5059101654846336,0.6384279592128501,139.8671,142.7198,114.3587,56.9303,0.07213239371776581,1.7178,0.0518
Result3908351,CCOc1cc2c(C)coc2c(-c2ccncc2C)n1,1.6668,-83.07709498212677,-0.038039121372454916,0.011683229645400776,110.8374,128.8624,166.0395,7.7892,0.016336210072040558,1.6668,0.0591
Result3908332,O=C1C=CC(c2ccccn2)(c2ccccn2)CC1,1.5651,-418.09251552250913,-0.6976744186046512,-0.2018990624796799,134.2987,79.3706,73.6676,122.0551,0.14343944191932678,1.5651,0.0664
Result3908367,Cc1cnoc1-c1cnn(-c2cccc(Cl)c2)c1,1.5583,-621.6534002360082,-1.116695614415979,0.15328915248286823,148.1292,138.2823,98.7119,89.2131,0.05839194357395172,1.5583,0.0662
Result3908335,c1cc(-c2ccc(-c3ccncc3)nc2)ccn1,1.5564,-38.945202227892835,0.1339391880414473,-0.01271748509317574,159.5350,123.6136,56.5354,149.5174,0.45041605830192566,1.5564,0.066
Result3908334,C[NH+]1CCCC(N2CCCN(C(N)=O)CC2)C1(C)C,1.5494,296.75800241251784,0.29911600056689336,0.18144955366702437,103.6674,100.8249,117.2728,30.5706,0.006252080202102661,1.5494,0.0578
Result3908332,Cc1c2c(nc3cnc([O-])nc13)CCC2,1.5474,-1029.313766464015,-1.6907692307692308,-2.4414190408634955,160.5806,82.5402,93.2444,68.1326,0.17177553474903107,1.5474,0.0663
