Folder Name,Smiles,Fitness,ATSC5v,AATSC5Z,MATS8se,Reagent1_(ul),Reagent2_(ul),Reagent3_(ul),Reagent4_(ul),lab_code,crystal_size,crystal_size_Std
Result3908976,CC1CCC=CC1c1ncc[nH]1,2.3462,44.5101090835072,-0.8576654115115654,0.4307112745537705,168.1456,105.6727,33.1195,11.4305,0.9089744091033936,2.3462,0.0406
Result3908976,CC(NC(=O)N1CCCCC1N1N=CNC12NCCC(C)C2C)C(=O)NC(C)(C)C,2.3036,-110.00187036805761,-0.7558545092177378,-0.19227815074625054,164.2331,128.5655,35.0424,18.6725,0.9618455171585083,2.3036,0.0616
Result3908973,CCCCC1(C)CCCC2(C)SC(=O)C3(CCC[NH+](C)C3)N12,2.2789,-3230.1378636610507,-2.3677857970906095,0.07413299184838477,174.6635,155.9775,32.0468,16.6672,0.05907195806503296,2.2789,0.0701
Result3908976,CCCCCCC,2.2409,-32.343446921325075,-0.09976895610165931,0.43749999999998956,164.7209,122.1074,55.4352,5.6431,0.8410531878471375,2.2409,0.0965
Result3908978,CCC1CCC(C)C[NH2+]1,2.2237,324.6623010815689,0.7544581618655695,0.29136812795001554,118.5632,107.9236,55.4263,49.7361,0.03642741218209267,2.2237,0.0542
Result3908976,CC1=CCCCC1c1nnc(C2CNCCO2)o1,2.2226,451.2852093038478,-0.28926223520818123,-0.15922142156702485,165.6710,106.9611,33.9204,7.8627,0.9767320156097412,2.2226,0.0476
Result3908970,CCCC1=CC(C)([NH+]2CCC([NH+]3CC(C)C([NH3+])C3)CC2)CCC1,2.2036,-362.29384729474816,-0.07014719726415279,-0.007240973139211132,163.9515,104.4012,78.8060,23.9998,0.9676882028579712,2.2036,0.0624
Result3908975,CC(=CC(=O)c1ccncc1)N1CCC2N=C(S)CCN2CC1,2.1999,842.0197607480804,1.177182280319535,0.13502314082794523,110.4704,134.9034,32.9641,37.5606,0.023495784029364586,2.1999,0.0521
Result3908970,CCCCC(C)(C)c1cc2c(C3CN(Cc4nncn4C)CC[NH2+]3)ncnc2s1,2.1984,253.92928361309598,0.2914349310752681,-0.10629825371373589,162.8194,104.7718,29.5918,30.6776,0.9736877083778381,2.1984,0.0785
Result3908976,C=C1CCC(n2cncc2C[NH2+]CCC)C[NH2+]1,2.1916,-156.20890981136705,0.024968131214413127,-0.08487256498378357,163.4866,121.7122,60.6041,14.6529,0.991166889667511,2.1916,0.0621
Result3908975,c1nc2c(s1)C(C1CCCCC1)OCC2,2.1866,-252.43112730156352,-2.0658783783783785,0.08053036317786906,115.8389,132.9464,51.5714,41.4162,0.021878935396671295,2.1866,0.0464
Result3908978,O=C1C2=CCCCC2Cc2cnoc21,2.1842,-137.92172658814107,-1.446808510638298,0.37256330357108847,114.3279,101.9651,59.9146,41.9255,0.0007751211524009705,2.1842,0.0732
Result3908966,O=c1cc[nH]c2c1cnc1scnc12,2.1653,-109.54100290384662,-2.0246111229490733,0.7804324473964659,129.9711,142.6445,21.2671,11.4253,0.9019472599029541,2.1653,0.0765
Result3908975,C1=CCC(c2[nH]cc[nH+]2)(C2CCNC2C2OCCCO2)C=C1,2.1475,-779.9203262305614,-0.8822359738916432,-0.1279468025646606,112.1305,151.2642,46.6565,48.5809,0.7022096514701843,2.1475,0.0687
Result3908969,Cc1snnc1Cc1nnsc1C,2.1317,851.1113334983997,8.774149659863946,0.8172638149224619,176.0242,119.1427,55.4093,19.8116,0.6913984417915344,2.1317,0.0822
Result3908975,CCc1nnc(C2CCC[NH2+]C2)o1,2.1267,-151.795109693161,-1.6706043529959158,0.1002132314812077,112.0330,153.3195,60.7792,18.5778,0.9057576656341553,2.1267,0.0564
Result3908975,CC1=CCOC23N=CN=C(c4nncn4N)C2=NC(C)=NC13,2.1074,-130.0147617996167,-0.28538011695906434,-0.28055488738663875,119.5334,106.6202,63.5019,29.0538,0.44512465596199036,2.1074,0.0367
Result3908974,Cc1cnc(-c2nnc(SC3CCOC4(CCCOC4)C3)o2)cc1C,2.1042,944.3527665577972,0.8524590163934426,-0.17529885995774333,176.9662,139.5601,36.7007,48.8759,0.0017677992582321167,2.1042,0.0686
Result3908978,CC1OCOCC12CCNCC21OC(C)(c2nnco2)OCC1C,2.0746,-837.7315589865482,-0.6941609977324261,-0.059328598026411446,123.0039,108.0436,30.0471,84.8740,0.9731717109680176,2.0746,0.044
Result3908973,CC1OC2(CC[NH2+]CC2O)CN2CCOc3ccccc3C12,2.0732,-1183.5209666163073,-1.0296929452133687,0.02184750574273405,142.1606,109.8541,54.1440,46.5687,0.006519641727209091,2.0732,0.0521
