Folder Name,Smiles,Fitness,ATSC5v,AATSC5Z,MATS8se,Reagent1_(ul),Reagent2_(ul),Reagent3_(ul),Reagent4_(ul),lab_code,crystal_size,crystal_size_Std
Result3920687,Cc1cccc(-c2cn(C3CCCC4(CCOCO4)C3)nn2)n1,1.9223,534.6770201951064,0.5847111111111111,0.1148905349338028,110.1017,86.4635,32.4607,68.8334,0.9690757393836975,1.9223,0.0333
Result3920687,Cc1cncc(Oc2cc(C)no2)c1,1.8659,-174.23469404575025,-3.64484126984127,-0.03362084297967859,104.0569,76.1933,36.1327,68.1272,0.9614494442939758,1.8659,0.0462
Result3920686,Cc1cc(C2OC3CCCC(=Nc4cccs4)C3O2)on1,1.759,-475.4693249370735,-1.760064697902536,0.058143411141025544,109.6484,106.6036,153.4782,155.4760,0.9644880890846252,1.759,0.0282
Result3920684,CC1CCC2(CC1C)[NH+]=CNC2=[NH2+],1.646,677.1745204274205,0.9928977272727273,0.35901900027026307,107.5298,142.9926,82.5310,30.6517,0.029670869931578636,1.646,0.0506
Result3920688,Cc1cnc(C[NH+]2CCN(C)C(C)C2)cc1C,1.6445,1004.4569766745307,0.8813751735078329,-0.06260846872354683,168.6012,82.7947,143.7089,132.8280,0.9960741400718689,1.6445,0.0268
Result3920688,Cc1cnc(-c2cccnc2)cc1O,1.6314,287.4750003139417,1.436769005847953,-0.11722894373499751,168.4429,83.3481,107.5808,136.5247,0.9898682236671448,1.6314,0.0456
Result3920688,Cc1cnc(-c2cn(C)nn2)cc1O,1.6276,174.22067988870083,1.630718954248366,-0.47772864010381344,166.0992,85.4649,74.4445,154.7770,0.9974492788314819,1.6276,0.0328
Result3920685,Cc1cc(C)nc(C(=O)NC2CSC=[NH+]2)c1,1.6011,-920.3522225911177,-1.0955555555555556,-0.11243207655401784,160.5549,121.8162,174.3757,14.5368,0.18205362558364868,1.6011,0.0207
Result3920684,Cc1cnc(CO)cc1C,1.5881,196.537000726364,0.9661057405418306,0.3118624101428318,119.1327,120.2095,30.1412,7.3092,0.1166834607720375,1.5881,0.0226
Result3920685,Cc1cc(CNC(C)C2CC=CCC2)nc2[nH]ncc12,1.5638,4.919831168836261,-0.2629181466096762,-0.16655843511728022,174.1561,118.4960,168.8083,16.3112,0.002937331795692444,1.5638,0.0467
