Folder Name,Smiles,Fitness,ATSC5v,AATSC5Z,MATS8se,Reagent1_(ul),Reagent2_(ul),Reagent3_(ul),Reagent4_(ul),lab_code,crystal_size,crystal_size_Std
Result3942316,Cc1ccc2cc3[nH]c(=S)[nH]c3cc2n1,1.5524,-40.747436869397816,-0.23076923076923053,-0.2988762128934676,158.8216,49.3289,13.4715,7.1284,0.17983371019363403,1.5524,0.0672
Result3942313,Nc1cnc2ncncc2c1,1.5468,-508.9421805969812,-2.856978085351788,0.7935620120312284,175.3817,106.9005,175.7983,3.3566,0.4542956054210663,1.5468,0.0588
Result3942320,Cc1nc(C2COCCN2)sc1-c1nnn[n-]1,1.5367,-222.81238766665294,-1.3723675640468953,0.04002463261499285,137.1589,86.0015,152.4662,5.5663,0.2271862030029297,1.5367,0.0699
Result3942312,CC(C)c1n[nH]c(SC2(C)CCOC2)n1,1.5232,-293.59323298082745,-1.9289641203703705,0.0011557129861010206,132.2508,81.5811,78.4987,2.8900,0.10029184818267822,1.5232,0.0697
Result3942318,Cc1cccc(-c2ccccc2)n1,1.5202,-193.68963307898133,-0.7796052631578947,0.2499022613634027,152.6498,120.4624,100.4524,27.8338,0.026134556159377098,1.5202,0.0606
Result3942315,Cc1cncc(SCc2cn[nH]c2)c1C,1.4233,288.7259742062177,-1.513983371126228,-0.2918670372170829,171.1291,123.2865,185.8980,26.3820,0.04611126706004143,1.4233,0.0737
Result3942314,CCOc1ncnc2nc(-c3ccccc3)[nH]c12,1.3872,-312.76080416418034,-1.4266666666666667,-0.2521729525139857,169.6329,83.7834,91.5337,15.5974,0.15011602640151978,1.3872,0.0493
Result3942319,Cc1cnc(CSc2ccncc2)s1,1.3273,178.33177877607864,2.1475694444444438,0.052577986690214774,150.4935,78.2999,139.4741,28.3517,0.24111296236515045,1.3273,0.0685
Result3942310,Cc1ccc2ccc3c(c2n1)NC(=O)CO3,1.3222,-184.27743227767377,0.433463426916782,-0.28553560738464434,135.6257,118.2524,69.0797,161.0069,0.9462593793869019,1.3222,0.0447
Result3942311,CCc1sc(-c2ccc3c(c2)OCO3)nc1C,1.2317,-139.10216536267893,0.32929292929292925,-0.15788005916809864,168.8396,54.6592,58.8661,65.4105,0.6981139183044434,1.2317,0.0675
