Folder Name,Smiles,Fitness,ATSC5v,AATSC5Z,MATS8se,Reagent1_(ul),Reagent2_(ul),Reagent3_(ul),Reagent4_(ul),lab_code,crystal_size,crystal_size_Std
Result3946219,Oc1nc2ccccc2c2ccccc12,1.6355,-512.6613269944078,-2.0113636363636362,0.3218841498835948,174.8797,129.8877,92.1261,1.6302,0.7666465044021606,1.6355,0.0815
Result3946214,CNc1cc(-c2cccc3nc(C)c(C)nc23)ncn1,1.634,-30.46677630249067,0.34615384615384615,-0.14285630990974157,175.1273,159.6396,106.7852,4.0880,0.7066720128059387,1.634,0.0833
Result3946217,Cc1nc2ccccc2c2cnncc12,1.6328,-550.4901316159066,-1.4166666666666667,0.14271293375394095,175.1855,154.9729,56.6542,2.5060,0.8669617176055908,1.6328,0.0824
Result3946223,c1cnc2c(c1)c1nc[nH]c1c1cccnc12,1.6324,-622.4555836480239,-2.0847673469387753,0.6397999999999977,174.7571,139.7608,19.4494,4.0594,0.2226790189743042,1.6324,0.085
Result3946216,OCc1ccnc2nccnc12,1.6226,-321.7285372458546,-2.505045508508112,0.5820456539852482,174.6275,138.7400,96.8932,7.8353,0.8080586194992065,1.6226,0.0777
Result3946222,Cc1cc(Cl)c2c(ccc3nccnc32)n1,1.6219,-856.2100896965617,-4.854844173441735,-0.3044265128506179,175.3361,141.0808,93.4872,1.8410,0.8203049898147583,1.6219,0.083
Result3946221,Cn1c[nH+]c2c(-c3ccc([N+](=O)[O-])cc3)ccnc21,1.5726,-489.833560979305,-1.1498566308243727,0.25308996082007207,175.6276,136.8494,110.9068,104.8598,0.7428992986679077,1.5726,0.063
Result3946215,c1cnc2c(cnc3cn[nH]c32)n1,1.5689,-146.35113373296616,-1.497755331088664,0.9976528117359401,176.3387,121.5520,45.1596,43.0502,1.0,1.5689,0.0621
Result3946220,Cc1ccnc2ccc3nccnc3c12,1.5687,-508.79583673374043,-1.8470744680851063,0.4850447434494271,175.1702,138.5256,110.5331,89.1323,0.888830840587616,1.5687,0.0605
Result3946218,Cc1onc2c(-n3ccnc3)ncnc12,1.5634,-598.9054274922192,-2.190082644628099,0.18742084453960767,177.0000,149.2656,111.7773,41.3436,0.7596268057823181,1.5634,0.0678
