Folder Name,Smiles,Fitness,ATSC5v,AATSC5Z,MATS8se,Reagent1_(ul),Reagent2_(ul),Reagent3_(ul),Reagent4_(ul),lab_code,crystal_size,crystal_size_Std
Result3794975,CCCc1cc(C)no1,1.9656,-437.2247,-4.0305,0.2936,185.1205,258.5354,23.9127,26.9801,0.0,1.9656,0.0318
Result3794970,CC(N)CC(=O)CNc1cccc(C(=O)O)c1N,1.9631,-471.7058,-1.6698,0.3884,178.7622,330.5826,36.4060,31.7911,0.0,1.9631,0.0348
Result3794960,CCOC12CC1OC(C)O2,1.9588,-481.4146,-2.6325,0.3035,238.8303,154.1855,42.0101,66.2736,0.0,1.9588,0.0216
Result3794973,Cc1nc(-c2c[nH]c(C)n2)n(C)n1,1.9203,-592.0572,-1.9630,0.4249,174.0115,165.0838,6.5656,6.2135,0.0,1.9203,0.0408
Result3794971,C#CCC1(CCC)NC1C,1.9105,-474.1196,-1.3154,0.3784,153.5277,183.2552,26.3662,55.5807,0.0,1.9105,0.011
Result3794964,NCCc1nccnc1CO,1.9027,-576.5465,-1.9303,0.4230,195.2561,158.6309,65.4990,2.1598,1.0,1.9027,0.0458
Result3794961,CC1(O)CC2(CCCN2)C2(COCCN2)N1,1.8853,-1064.2940,-1.8508,0.3110,145.0567,177.5709,65.6640,61.4096,0.0,1.8853,0.0206
Result3794979,CC1=CC2=C(CCNCC2)N(C)C1,1.8816,-1025.2616,-1.3257,0.3790,173.7806,117.4578,39.0835,20.3127,0.0,1.8816,0.0269
Result3794962,CC12ON=C(c3ccco3)C1O2,1.8532,-255.6492,-1.8558,0.5083,144.5466,169.5340,65.0387,106.1979,1.0,1.8532,0.0187
Result3794978,CCOC1(O)CC1CO,1.8371,-358.5608,-1.9088,0.2956,213.9692,90.3593,56.6558,108.9924,0.0,1.8371,0.0256
Result3794963,Cc1cc(C)c(CCc2ccnc(O)c2)c(O)n1,1.8209,-475.8065,-2.1453,0.5722,144.4085,170.0320,144.6062,0.5629,0.0,1.8209,0.028
Result3794972,CC1=CC2(C)NC2C2NCCCC12,1.8191,-927.2358,-1.9744,0.3790,153.5135,89.6587,22.4951,77.0754,1.0,1.8191,0.0221
Result3794968,c1cncc(C2CCCO2)c1,1.8156,-458.0869,-1.5780,0.3301,157.7385,168.5424,134.8850,65.1817,0.0,1.8156,0.0083
Result3794977,CCc1cnc2c(c1)CCC2,1.7997,-311.6348,-1.3187,0.4681,194.8784,76.4186,22.4648,48.5687,0.0,1.7997,0.0291
Result3794967,Oc1ccnc2[nH]c3c(c12)CCNC3,1.782,-413.1026,-1.8958,0.4640,226.3567,151.8165,165.8560,123.3632,0.0,1.782,0.0082
Result3794969,O=C1COc2ncccc2-c2ncccc21,1.7694,-604.1603,-1.8356,0.3711,110.5403,109.1297,81.5466,88.4291,0.0,1.7694,0.0238
Result3794966,CCCC1COCOC1C#N,1.7557,-360.2766,-1.5000,0.3029,152.5480,154.0426,150.9819,140.9298,0.0,1.7557,0.01
Result3794974,CC(C)C(C(=O)O)C(C)(O)C(=O)C1CO1,1.7222,-1734.9847,-4.7527,0.3469,191.8232,167.5987,209.9159,11.3207,1.0,1.7222,0.0404
Result3794965,CCc1cc(OC2(C)CC2)ccn1,1.6791,-873.7885,-2.1749,0.0941,114.6528,104.6345,119.1136,66.4133,1.0,1.6791,0.0175
Result3794976,COc1ccc(O)cc1O,1.1483,-310.9092,-2.4188,0.3978,5.4845,96.9069,58.6917,20.4616,1.0,1.1483,0.0138
