Folder Name,Smiles,Fitness,ATSC5v,AATSC5Z,MATS8se,Reagent1_(ul),Reagent2_(ul),Reagent3_(ul),Reagent4_(ul),lab_code,crystal_size,crystal_size_Std
Result3798111,COc1cc(C)ncc1C1CO1,2.1633,-328.9789,-1.7554,0.3507,155.5560,98.7797,22.4963,61.1520,0.0,2.1633,0.0397
Result3798109,c1nc2c(c3c1NCCO3)OCCCC2,2.0676,-347.0004,-2.2088,0.2735,175.9897,99.3024,48.4317,68.5086,0.0,2.0676,0.0297
Result3798110,CCCCC12OC1N=NN2CC,2.0124,-456.9517,-2.0473,0.2312,109.0337,113.4745,48.6121,27.0938,0.0,2.0124,0.0181
Result3798117,CCNC1C(=NC)OC1=NC,1.9455,-376.1672,-1.9643,0.3745,153.7611,138.4994,2.0004,105.6347,0.0,1.9455,0.044
Result3798116,CCCc1cccnc1,1.9409,-349.2661,-1.6292,0.4380,133.1119,130.4100,5.3638,162.1833,1.0,1.9409,0.0387
Result3798112,Nc1noc(C=O)c1-c1ccc2c(c1)NC(=O)CO2,1.9323,-580.1108,-1.1840,0.3070,170.2831,161.8900,30.0777,43.8512,0.0,1.9323,0.0649
Result3798114,CC1=Cc2nn(C)nc2NC1,1.7856,-290.1331,-3.2201,0.5581,148.6259,74.2748,35.4818,66.1543,1.0,1.7856,0.0709
Result3798115,COCc1nonc1-c1ccncc1,1.6973,-371.4459,-1.7747,0.2863,162.7945,72.8913,0.1178,26.3818,0.0,1.6973,0.0642
Result3798108,Cc1ccn(C)c(=O)c1C(=O)[N+](C)(C)C,1.5738,-633.8379,-2.0491,0.3213,1.7634,86.3046,25.6193,13.8718,0.0,1.5738,0.2041
Result3798113,Cc1ccc(N)n1-c1cc(N)cc(NCN)c1,1.4232,-901.3529,-2.0229,0.3241,39.7399,133.3185,134.1716,10.8773,0.0,1.4232,0.1459
