Folder Name,Smiles,Fitness,ATSC5v,AATSC5Z,MATS8se,Reagent1_(ul),Reagent2_(ul),Reagent3_(ul),Reagent4_(ul),lab_code,crystal_size,crystal_size_Std
Result3934636,Cc1cnc(-c2cnccn2)c2ccoc12,1.6156,-902.8970121005345,-2.114418604651163,-0.11924240769957745,147.8725,111.0109,63.9143,34.5679,0.6278629899024963,1.6156,0.0509
Result3934640,CCc1nnc(-c2ccnc(O)c2)o1,1.6092,-207.66944869538727,-1.431190926275992,-0.03513207486320593,196.1918,74.1760,112.3737,59.1180,0.901427686214447,1.6092,0.0795
Result3934639,Cc1ccncc1-c1ccncc1,1.5875,-85.45788956877334,-0.33833228313379543,-0.34870499052432175,206.6008,298.9744,35.7823,47.0307,0.5140482783317566,1.5875,0.0795
Result3934644,CCc1nnc(-c2ccc(Br)o2)o1,1.5673,-199.3922986400191,2.4761904761904763,0.17921474891704162,215.0572,143.7400,65.6673,136.6882,0.7626820206642151,1.5673,0.0531
Result3934643,CCc1nnc(-c2csc([NH3+])n2)o1,1.5592,-94.47375075274283,1.1357851239669423,-0.0394042160917185,159.6249,181.6362,66.0291,91.0463,0.31957489252090454,1.5592,0.0631
Result3934637,c1cncc(C2CCC[NH2+]C2)c1,1.524,13.7835070593908,0.010288065843621429,0.20204038257173046,206.6408,164.8917,65.8432,162.9724,0.9990807175636292,1.524,0.0507
Result3934642,c1cncc(-c2cccnc2)c1,1.4953,62.803017999298795,0.009999999999999707,0.2821371183717165,246.1234,110.7421,63.9413,173.3003,0.627334713935852,1.4953,0.0523
Result3934647,C#Cc1ccc(C=O)c(-c2ccccn2)c1,1.474,116.07759399290886,0.17457391304347833,-0.17541131912777316,202.7960,70.7716,100.9495,73.2459,0.3556748926639557,1.474,0.06
Result3934645,c1cncc(-c2cccnc2)c1,1.4413,62.803017999298795,0.009999999999999707,0.2821371183717165,126.4428,106.1500,328.3311,34.5110,0.0816907286643982,1.4413,0.0598
Result3934646,CC1CC(C)CC(c2cccs2)C1,0.67781,-538.9590542522869,-0.34366613724738476,0.6079943557744059,158.1851,5.3822,64.5544,69.7007,0.37181025743484497,0.6778,0.0239
