Folder Name,Smiles,Fitness,ATSC5v,AATSC5Z,MATS8se,Reagent1_(ul),Reagent2_(ul),Reagent3_(ul),Reagent4_(ul),lab_code,crystal_size,crystal_size_Std
Result3947197,Cc1cnccc1-c1c[nH+]ccc1C,0.67041,-602.4057685257384,-1.011111111111111,0.058355002949978176,159.7635,89.6688,106.5240,63.0365,0.5591133236885071,0.6704,0.0266
Result3947198,CCC1CCCc2ccncc21,0.66852,-435.33348977312875,-0.9608429978800348,0.45614273115798754,112.5096,116.3614,129.3435,98.2197,0.9865410327911377,0.6685,0.0304
Result3947201,Cc1ccncc1-c1ccncc1,0.6607,-85.45788956877334,-0.33833228313379543,-0.34870499052432175,139.6182,36.5241,90.0062,129.5815,0.5372573137283325,0.6607,0.0444
Result3947205,Cc1ccncc1-c1ccncc1,0.6578,-85.45788956877334,-0.33833228313379543,-0.34870499052432175,149.8301,156.5293,112.8486,96.6676,0.9753164052963257,0.6578,0.0252
Result3947209,CCOc1cccc2cnccc12,0.65163,-595.3337627722535,-2.011904761904762,-0.027736893581866914,152.5951,124.0708,156.5885,14.1234,0.6364189386367798,0.6516,0.0263
Result3947202,c1ccc(-c2ccc(-c3ncc[n-]3)nc2)cc1,0.64844,-12.219622671272415,-0.8752590257712402,-0.402869296132775,3.7991,161.3921,125.5316,169.1120,0.8857229351997375,0.6484,0.0317
Result3947204,c1ccc2nc(-c3c[nH+]c[nH]3)ccc2c1,0.64227,-195.96344192038558,-0.9076000000000001,-0.1169492953001299,110.0040,50.3520,115.4001,10.5993,0.1870136260986328,0.6423,0.0414
Result3947207,CC1Cc2cc(F)ccc2CC1c1cccc(O)c1,0.63963,-104.91873484918816,-0.01815541031227305,0.08445219970397655,155.5370,15.7913,131.5714,56.9384,0.9678964614868164,0.6396,0.0281
Result3947203,[O-][n+]1ccc(C(O)c2cnccn2)c(CO)c1,0.63728,-33.113875348876405,-0.2023809523809525,0.0268285054641975,138.7897,120.5020,107.4631,19.7439,0.6171305775642395,0.6373,0.031
Result3947200,Cc1noc(N)c1-c1cccc2cccnc12,0.63214,-892.424426998565,-1.7661117078410313,0.11914584534048757,135.5942,80.8951,86.0289,108.8769,0.8517043590545654,0.6321,0.0451
