Folder Name,Smiles,Fitness,ATSC5v,AATSC5Z,MATS8se,Reagent1_(ul),Reagent2_(ul),Reagent3_(ul),Reagent4_(ul),lab_code,crystal_size,crystal_size_Std
Result3951464,O=C1N=Nc2cc3c(C4C=CS(=O)(=O)C4)csc3c(Br)c21,1.7427,-351.4142838217298,-4.899136577708006,0.05639818592146176,176.9739,123.7236,77.5700,3.1943,0.08818561422056348,1.7427,0.1155
Result3951469,CN1CCOc2cc(C3(C(=O)N4CCC(n5cnccc5=O)CC4)CC=CCC3)ccc21,1.7094,-734.7075881471081,-0.8545849715249408,0.046560675098808284,145.8992,136.4378,88.5741,10.7652,0.9578018023108658,1.7094,0.1157
Result3951468,CSC(C(=O)C(S)[SH]1C=NC=C1c1cccc(Br)c1)c1ccccc1,1.7008,-386.5680439619076,0.6328885933879461,0.03544627790252738,145.4988,90.3821,32.4370,10.7646,0.6106013599809321,1.7008,0.136
Result3951457,CC(OCC(=O)c1ccccc1)C(=O)NN=Cc1cc(Br)ccc1Oc1ccc2c(c1)cc(Cl)c1c2ccc2c3ccc4ccccc4c3ccc21,1.6891,-185.42253372866014,-0.06692722956406687,0.025398121182680363,153.0499,151.1357,28.1109,11.9880,0.7173991947581021,1.6891,0.1297
Result3951456,COc1c(C)c(S(=O)(=O)N2CCC(NC(N)=O)CCC2=O)c(C)c2c(C)c(C)oc12,1.6691,-901.5341319340174,-1.6655797937827026,0.16997174170572435,142.4712,161.8086,93.2844,11.0495,0.4550525921242834,1.6691,0.1109
Result3951452,CC(C)C(C(=O)c1ncno1)c1ccc(Cl)cc1,1.6569,-906.0109651409812,-1.9582079478021208,0.10179313301276034,147.3806,125.3742,57.2959,7.0371,0.023082235367631432,1.6569,0.1062
Result3951463,CCC(C)N1C(=O)C(C)=CNC1C(=O)C1=NN=CS12C=CNCC2=O,1.6439,-230.93723527203372,-0.18413552421113863,-0.05075348729220391,161.5032,121.7782,43.6408,6.4924,0.43354384229896603,1.6439,0.1165
Result3951460,CCCNC(C(=O)C1(C(Cl)(Cl)c2ccccc2)CCCO1)c1ccc(C)cc1C,1.6331,-1124.554449886349,-2.8052235225400017,-0.11837266977637624,146.9448,144.9221,70.2529,12.3325,0.19564418512188908,1.6331,0.101
Result3951453,CN(C)C(C(=O)c1ccsc1C(=O)Nc1nc2c(Cl)cccc2s1)C(C)(F)F,1.6283,-1030.4241318314055,-3.524097864331888,-0.33237307150165146,143.8127,132.0347,109.5344,13.6836,0.2103844208421325,1.6283,0.1089
Result3951465,O=C1NC(=O)C(N2CCN3C(=O)N4CC(c5cccc6c5CCN(C5CCCCC5)C6)SC45CNc4c[nH]c(=O)cc4C35C2)S1,1.6265,-93.57493383909664,-0.17098745183941463,0.00804560518365088,152.4045,151.4257,67.2978,117.3723,0.9098960560114622,1.6265,0.0633
